symbol,tf,window,spearman,t,low10_fwd,low10_t,high10_fwd,high10_t
BTCUSDT,1d,10,0.015039722029406628,0.8653721796289776,0.0014226265238954851,0.49280186469025256,0.008500279106251007,3.939830164015681
BTCUSDT,1d,12,0.018512025023866962,1.064905590917969,0.0008792088065170869,0.30604773922659156,0.008088626203065186,3.7843359165199795
BTCUSDT,1d,14,0.02097572090092902,1.2063237604322385,0.0019035715511428364,0.6750986356414963,0.006784036791330643,3.1754380151658363
BTCUSDT,1d,16,0.02351446178884315,1.3519952399911652,0.0023838439399646847,0.8435062627530703,0.007119754912188849,3.3253205182121555
BTCUSDT,1d,18,0.025863141490524655,1.4866718187133696,0.00259324741039433,0.9173702593995445,0.006836366845689324,3.1776792832039353
BTCUSDT,1d,21,0.02876858592606863,1.6530632289000584,0.003404036598223253,1.2050879797449598,0.006926919585277311,3.2012394415162517
BTCUSDT,1d,25,0.031474617232049015,1.8076044034043608,0.0038494422307291105,1.5117862908802424,0.006878941235438896,3.1575167067602146
BTCUSDT,1d,30,0.033361830449366296,1.9146510836114892,0.004242135950452868,1.7286019001745117,0.007173821830739325,3.199688766449579
BTCUSDT,4h,2,-0.050919089672167774,-7.194881121042879,0.00015810509999416208,0.3929777722623554,0.0006680215710682454,2.043646715713023
BTCUSDT,4h,3,-0.04292908253975943,-6.063459834902879,-8.046789928017377e-05,-0.1844603000014493,0.0007951490970499198,2.4502738688719794
BTCUSDT,4h,4,-0.03676024934921911,-5.190742956969863,-9.246418658491278e-05,-0.20806020470156095,0.0009486387611425032,2.906639921426647
BTCUSDT,4h,5,-0.03140869431722006,-4.434153689092968,-0.00013398130345618347,-0.29673636252429714,0.0011207082032195666,3.382743274168297
BTCUSDT,4h,6,-0.026809802649522395,-3.784298461442453,0.00010830755023903576,0.23741850223386843,0.001124832285726229,3.335567685473349
BTCUSDT,4h,7,-0.022870111625677272,-3.2277999793705474,-1.8717661185347806e-05,-0.04054729682961625,0.001083235141017476,3.208819724204847
BTCUSDT,4h,8,-0.019569705816997372,-2.7617304649842254,0.00014258319522616444,0.3081963742395651,0.0011360715803776116,3.345389585245659
BTCUSDT,4h,9,-0.016898257852654593,-2.3845523236820196,0.00018559985592008722,0.396784595850527,0.0010856109443602151,3.1918622763164923
BTCUSDT,4h,10,-0.014550676987157618,-2.0531523640283793,7.258656682393242e-05,0.15523846176127962,0.0012373963784631174,3.5629958865757665
BTCUSDT,4h,12,-0.010774234020804596,-1.5201337267636363,-2.3236543923855455e-05,-0.049031654438120686,0.0010145073027332274,2.9208228506329577
BTCUSDT,4h,14,-0.008011526817416684,-1.1302579999934363,1.0325901438525886e-05,0.02145219299067435,0.0009835425352098513,2.79595217383845
BTCUSDT,4h,16,-0.005488216790554004,-0.7742199126775007,-2.693342641095639e-05,-0.05563171263982036,0.0008288649265738035,2.3490300096412535
BTCUSDT,4h,18,-0.003637363464567042,-0.5130908695467311,-7.581148461165985e-05,-0.1570237119145783,0.0009636171688917259,2.7352776728428423
BTCUSDT,4h,21,-0.0013629212807323198,-0.1922397299821717,-0.000222961735739322,-0.45951754470939005,0.0009356536200686257,2.65236532430948
BTCUSDT,4h,25,0.0006222475588122453,0.08775898552458641,-8.109950087856687e-05,-0.1646273822975602,0.0009127563921214107,2.604153950911213
BTCUSDT,4h,30,0.002522867047149333,0.35577011473613473,0.00033003921878766216,0.6674364016016894,0.0009468286863366235,2.696824228593838
ETHUSDT,1w,2,0.06554330772234906,1.4255211531557601,-0.017483029717516856,-0.9308018035566827,0.008443338615465222,0.42279118575130953
ETHUSDT,1w,3,0.07847858640584891,1.7066388265180077,-0.0008091613117511068,-0.0461492995564537,0.013496851226338738,0.6802785483171793
ETHUSDT,1w,4,0.08010065210250804,1.7402843048766665,0.005651292637912068,0.3349446117872843,0.018522817251264565,0.9213543314376388
ETHUSDT,1w,5,0.07751675864573905,1.6820049582416963,0.0017296719134041992,0.09314420370379854,0.018083748963065895,0.9157268247628477
ETHUSDT,1w,6,0.0732883396903721,1.588044997299861,-0.002149155321823298,-0.10590298019358554,0.04003624122119305,1.7364813229880063
ETHUSDT,1w,7,0.07092616546418201,1.5349511543979173,-0.00401231994247464,-0.19671056017051064,0.04047769089581196,1.7589321002139275
ETHUSDT,1w,8,0.06631411464103013,1.4331428338999002,-0.007104890117170937,-0.34606017755390955,0.029633279529444598,1.1674538010865798
ETHUSDT,1w,9,0.06572254169037109,1.4187743544355547,-0.007396375041003117,-0.36067727657347826,0.031160312731739147,1.2251090838907603
