symbol,tf,window,mr_ret,mr_trades,mr_win,mr_expo,mom_ret,mom_trades,mom_win,mom_expo
BTCUSDT,4h,16,-9.086634858508495,527,0.07020872865275142,0.10628043576484764,18.51062185881447,911,0.4621295279912184,0.5258296099201767
BTCUSDT,4h,18,-8.948244388663968,517,0.08317214700193423,0.10798734876248808,18.133486931956202,843,0.4709371293001186,0.5248255434509764
BTCUSDT,4h,21,-8.33510531149671,482,0.0995850622406639,0.1107485315527888,17.187173149691798,782,0.46547314578005117,0.5252271700386566
BTCUSDT,4h,25,-7.959370996443243,440,0.10227272727272728,0.11215422460966916,16.413220415266768,721,0.4604715672676838,0.5254781866559566
BTCUSDT,4h,30,-7.55050743605375,426,0.11502347417840375,0.11612028716301019,15.143554017697126,669,0.4020926756352765,0.5245243235102164
ETHUSDT,1w,2,-1.1680126893811968,13,0.0,0.06512605042016807,15.924136925914883,71,0.5774647887323944,0.5021008403361344
ETHUSDT,1w,3,-1.1265361332854904,12,0.08333333333333333,0.07563025210084033,16.519066349217685,49,0.6326530612244898,0.4957983193277311
ETHUSDT,1w,4,-1.1214418774482828,12,0.16666666666666666,0.08403361344537816,16.392504025812325,41,0.5609756097560976,0.5
ETHUSDT,1w,5,-1.0385936532325468,10,0.1,0.0819327731092437,18.26042960511168,40,0.525,0.5
ETHUSDT,1w,6,-1.0171994028302622,11,0.18181818181818182,0.08403361344537816,26.839166613504034,39,0.46153846153846156,0.5063025210084033
ETHUSDT,1w,7,-1.008273785429236,9,0.1111111111111111,0.07563025210084033,24.511578928253126,32,0.4375,0.5042016806722689
ETHUSDT,1w,8,-0.8838704950622074,11,0.09090909090909091,0.07142857142857142,24.412533328238773,29,0.4482758620689655,0.5084033613445378
ETHUSDT,1w,9,-0.8798704950622074,9,0.1111111111111111,0.06722689075630252,24.117152311361217,26,0.5384615384615384,0.5042016806722689
ETHUSDT,1w,10,-0.8302129553940293,7,0.14285714285714285,0.06722689075630252,24.181282976262228,24,0.5833333333333334,0.5084033613445378
ETHUSDT,1w,12,-0.8528959014357781,6,0.0,0.06302521008403361,15.516781412063029,18,0.7222222222222222,0.5168067226890757
ETHUSDT,1w,14,-0.8508959014357781,5,0.0,0.06092436974789916,14.723139326166951,18,0.7222222222222222,0.5084033613445378
ETHUSDT,1w,16,-0.7499619418331192,5,0.0,0.06302521008403361,14.367606438784263,17,0.8235294117647058,0.49789915966386555
ETHUSDT,1w,18,-0.710084200074924,5,0.0,0.06302521008403361,21.75093343501194,19,0.47368421052631576,0.49159663865546216
ETHUSDT,1w,21,-0.7595492281334297,8,0.0,0.07773109243697479,19.38470620178764,16,0.5,0.4726890756302521
ETHUSDT,1w,25,-0.6649409064425921,9,0.0,0.09243697478991597,16.065495084302125,17,0.47058823529411764,0.47058823529411764
ETHUSDT,1w,30,-0.5483782355817066,7,0.14285714285714285,0.1134453781512605,16.46680101560989,17,0.5294117647058824,0.4789915966386555
ETHUSDT,1d,2,-5.18734647961367,187,0.0,0.09539572675293409,23.497251939537563,539,0.5269016697588126,0.5164008426120975
ETHUSDT,1d,3,-5.7148725636527,171,0.0,0.09720132410472465,20.868549105338744,456,0.48903508771929827,0.5160999097201324
ETHUSDT,1d,4,-5.725475074191005,148,0.013513513513513514,0.09690039121275955,20.148094950901218,377,0.4986737400530504,0.5173036412879928
ETHUSDT,1d,5,-5.651897203866972,133,0.045112781954887216,0.09960878724044538,19.20070228319594,329,0.48024316109422494,0.5112849834486909
ETHUSDT,1d,6,-5.429002928880377,126,0.031746031746031744,0.09960878724044538,18.312734902703262,294,0.48639455782312924,0.4980439362022269
ETHUSDT,1d,7,-5.61128103997393,122,0.040983606557377046,0.10171531748420103,17.588090106097717,263,0.4752851711026616,0.4947336743906109
ETHUSDT,1d,8,-5.218057290993153,119,0.05042016806722689,0.10171531748420103,17.194791078565697,227,0.4801762114537445,0.49172434547096
ETHUSDT,1d,9,-4.934709087897583,114,0.043859649122807015,0.10352091483599157,17.234481295964912,213,0.4694835680751174,0.4896178152272043
ETHUSDT,1d,10,-4.967340079388298,112,0.044642857142857144,0.10803490821546795,16.70965145888148,203,0.45320197044334976,0.4902196810111345
ETHUSDT,1d,12,-4.682851630176716,95,0.05263157894736842,0.10653024375564249,16.30077730224152,168,0.5,0.49593740595847124
ETHUSDT,1d,14,-4.058664300433331,93,0.0967741935483871,0.10833584110743304,15.460914201381119,153,0.48366013071895425,0.504965392717424
ETHUSDT,1d,16,-4.045427853571083,80,0.1,0.11224796870297923,16.148343921200926,133,0.45112781954887216,0.5097803189888654
ETHUSDT,1d,18,-3.850035978495162,77,0.12987012987012986,0.11315076737887451,15.908681322305902,129,0.5193798449612403,0.50827565452904
ETHUSDT,1d,21,-4.0249508492381985,69,0.08695652173913043,0.11616009629852543,14.777212751479514,123,0.4959349593495935,0.50827565452904
ETHUSDT,1d,25,-3.7115169121198064,71,0.08450704225352113,0.11495636473066506,14.243033557470621,110,0.42727272727272725,0.5043635269334938
ETHUSDT,1d,30,-3.4526770227272627,70,0.07142857142857142,0.11796569365031598,13.027207452533611,95,0.49473684210526314,0.50827565452904
ETHUSDT,4h,2,-16.424563141102453,1053,0.000949667616334283,0.0992017671569858,44.72403136537987,3300,0.49636363636363634,0.5204076509864953
ETHUSDT,4h,3,-17.140573525866298,952,0.005252100840336135,0.10045685024348612,39.84577791309377,2653,0.48548812664907653,0.5201064310457352
ETHUSDT,4h,4,-17.050396860034954,875,0.005714285714285714,0.10166173000652644,36.110788760429365,2229,0.4908030506953791,0.5191023645765349
ETHUSDT,4h,5,-16.19066036174304,787,0.017789072426937738,0.10120990009538632,33.87371945088472,1955,0.4925831202046036,0.5185501280184748
ETHUSDT,4h,6,-15.58891613020086,707,0.02545968882602546,0.10080827350770621,32.20201675194181,1753,0.4854535082715345,0.5198554144284352
ETHUSDT,4h,7,-15.002697641180252,642,0.03271028037383177,0.09990461368542597,30.486182086037118,1593,0.4839924670433145,0.5197048044580551
ETHUSDT,4h,8,-14.68549191307579,621,0.040257648953301126,0.10090868015462624,29.220642789988354,1456,0.4766483516483517,0.519202771223455
ETHUSDT,4h,9,-13.778586976727764,591,0.047377326565143825,0.10196294994728651,28.238784440782148,1314,0.4771689497716895,0.519554194487675
