symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
ETHUSDT,1w,2,lo,48,32,0.026691517539179487,2.0498590650779716,2.1187561053270563
ETHUSDT,1w,2,hi,48,18,0.009266041451982772,0.3958295500720794,0.45574086994996654
ETHUSDT,1w,2,hi_bull,27,10,0.004936204510387972,0.14115459129723262,0.17050165708899032
ETHUSDT,1w,2,hi_bear,21,8,0.014832974662604656,0.49533719470040355,0.5066858450773022
ETHUSDT,1w,3,lo,48,20,0.010581383589556854,0.6659849551347864,0.6908717197281745
ETHUSDT,1w,3,hi,48,15,-0.0023810313543454593,-0.10329648030086738,-0.12627669225590873
ETHUSDT,1w,3,hi_bull,27,10,-0.003400104433844872,-0.09533961149705884,-0.10957749169120834
ETHUSDT,1w,3,hi_bear,21,5,-0.0010707945378462139,-0.03968631018082543,-0.06324798261573823
ETHUSDT,1w,4,lo,47,19,-0.003920963429646663,-0.22643832853086673,-0.24418129998102625
ETHUSDT,1w,4,hi,47,16,0.01856152760666963,0.7782272086184195,0.8155978447468107
ETHUSDT,1w,4,hi_bull,32,11,0.010151149149509812,0.3043202329520053,0.3015455064099012
ETHUSDT,1w,4,hi_bear,15,5,0.036503668315277245,1.5332391763193092,1.713860007398724
ETHUSDT,1w,5,lo,47,19,-0.014084673366287798,-0.8068363545315809,-0.8296860025578369
ETHUSDT,1w,5,hi,47,12,0.046230925415478415,1.5602431077360044,1.914354270509049
ETHUSDT,1w,5,hi_bull,32,7,0.023776621517251503,0.6303151203405343,0.6693189307173987
ETHUSDT,1w,5,hi_bear,15,5,0.0941334403983625,2.065737989673903,2.444590064246089
ETHUSDT,1w,6,lo,47,16,-0.011038432223553978,-0.6315456329631216,-0.8190442895437536
ETHUSDT,1w,6,hi,47,10,0.027844619019244093,1.0157918637195182,1.1038132514610863
ETHUSDT,1w,6,hi_bull,35,7,0.004049995540204484,0.13221681101031044,0.1169733615582532
ETHUSDT,1w,6,hi_bear,12,3,0.09724560416644297,1.7031074347327018,2.526760782772517
ETHUSDT,1w,7,lo,47,10,-0.021938459474308773,-1.3485670358827673,-1.6234753158225999
ETHUSDT,1w,7,hi,47,10,0.04934929034096249,1.733783403433389,2.285230456468089
