symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,1d,21,bull,adx_gt_med,23,0.00854553944383588,1.276863892774615
BTCUSDT,1d,21,bear,all,88,-0.0006096422247062232,-0.1693484197529854
BTCUSDT,1d,21,bear,fixed20,36,0.008867214052681906,1.5864488185336525
BTCUSDT,1d,21,bear,adx_gt_med,19,0.01467721497055331,1.9535642183098
BTCUSDT,1d,25,bull,all,78,0.009941908171955284,3.441593103485466
BTCUSDT,1d,25,bull,fixed20,24,0.01698037665351337,2.818777550886026
BTCUSDT,1d,25,bull,adx_gt_med,16,0.025759179544750627,3.39532668820432
BTCUSDT,1d,25,bear,all,77,-0.00234147961832956,-0.6009744839970599
BTCUSDT,1d,25,bear,fixed20,26,0.011207113054464594,1.5604496895572084
BTCUSDT,1d,25,bear,adx_gt_med,17,0.012115257646884056,1.557066229724875
BTCUSDT,1d,30,bull,all,71,0.005421716721185382,1.4780792975052592
BTCUSDT,1d,30,bull,fixed20,18,0.012336750427236235,1.664883585629867
BTCUSDT,1d,30,bull,adx_gt_med,14,0.021273936645009046,2.206672818876792
BTCUSDT,1d,30,bear,all,70,0.0004678604164462292,0.1017955055340535
BTCUSDT,1d,30,bear,fixed20,22,0.012995875014331838,1.4577191486625398
BTCUSDT,1d,30,bear,adx_gt_med,14,0.005538289412908475,0.8614792581918381
BTCUSDT,4h,2,bull,all,2522,0.0001294321307588554,0.4788168825147705
BTCUSDT,4h,2,bull,fixed20,2497,0.00014849063207744427,0.5457761360400694
BTCUSDT,4h,2,bull,adx_gt_med,444,0.0008010604142983144,1.1960128048228693
BTCUSDT,4h,2,bear,all,2522,0.00010783742418887968,0.37404928838120294
BTCUSDT,4h,2,bear,fixed20,2502,0.00013515090582345683,0.4675628597453063
BTCUSDT,4h,2,bear,adx_gt_med,477,0.0013081236798331355,1.6919647349042184
BTCUSDT,4h,3,bull,all,1949,0.0001263969127899857,0.43371365379915916
BTCUSDT,4h,3,bull,fixed20,1893,9.020512948840374e-05,0.30623808402450786
BTCUSDT,4h,3,bull,adx_gt_med,361,0.0003723999627169591,0.5095467733989265
BTCUSDT,4h,3,bear,all,1949,-0.0003432698312975861,-1.0512247663115684
BTCUSDT,4h,3,bear,fixed20,1897,-0.0003864148568400283,-1.1607511284266716
BTCUSDT,4h,3,bear,adx_gt_med,400,0.0015604820705195977,1.7737522093241198
BTCUSDT,4h,4,bull,all,1609,3.8364652425468706e-05,0.12018368526318467
BTCUSDT,4h,4,bull,fixed20,1510,6.926351377612413e-05,0.2105138077944484
BTCUSDT,4h,4,bull,adx_gt_med,295,2.0959360286923702e-05,0.026260900446023035
BTCUSDT,4h,4,bear,all,1609,-0.00031435213141117236,-0.8575778830242533
BTCUSDT,4h,4,bear,fixed20,1500,-0.0002761818732647136,-0.7106602467402124
BTCUSDT,4h,4,bear,adx_gt_med,312,0.00161050015190677,1.9364906513583802
BTCUSDT,4h,5,bull,all,1393,0.000244199102338356,0.7369295520010162
BTCUSDT,4h,5,bull,fixed20,1231,0.00018203337814486973,0.5228503741093887
BTCUSDT,4h,5,bull,adx_gt_med,261,0.0004235099438664478,0.56308933835361
BTCUSDT,4h,5,bear,all,1392,-0.0001669974144918555,-0.44508684271082716
BTCUSDT,4h,5,bear,fixed20,1229,-9.530619880305087e-05,-0.2346889372678335
BTCUSDT,4h,5,bear,adx_gt_med,266,0.0017846942025762664,1.865158414475993
BTCUSDT,4h,6,bull,all,1266,-3.380929935341248e-05,-0.0948727975788559
BTCUSDT,4h,6,bull,fixed20,1055,-0.0003781181494259648,-1.0060792235173819
BTCUSDT,4h,6,bull,adx_gt_med,231,0.0001531015795730936,0.18202171009768903
BTCUSDT,4h,6,bear,all,1265,0.000113292250490637,0.2918239559178559
BTCUSDT,4h,6,bear,fixed20,1050,0.0002489306729804683,0.5586480195963202
BTCUSDT,4h,6,bear,adx_gt_med,244,0.000698312672357601,0.8091375164460096
BTCUSDT,4h,7,bull,all,1143,-0.000320831338008277,-0.865405824845293
BTCUSDT,4h,7,bull,fixed20,877,-0.0005440032771296276,-1.3060670402627077
BTCUSDT,4h,7,bull,adx_gt_med,213,-0.000450955139474717,-0.5304943436469444
BTCUSDT,4h,7,bear,all,1142,0.00027356891868397326,0.6805798282082701
BTCUSDT,4h,7,bear,fixed20,878,0.0004416084748571702,0.9210462072089338
BTCUSDT,4h,7,bear,adx_gt_med,214,0.0011888742087573269,1.166574049587753
BTCUSDT,4h,8,bull,all,1046,-0.0003679083895001559,-0.9823696522270737
BTCUSDT,4h,8,bull,fixed20,742,-0.0007294753484268822,-1.622591416142196
BTCUSDT,4h,8,bull,adx_gt_med,199,-0.001168782794576169,-1.357237535481323
BTCUSDT,4h,8,bear,all,1045,-4.2256527509444156e-05,-0.09778686838427386
BTCUSDT,4h,8,bear,fixed20,738,0.0002966346351372619,0.5383801610345604
BTCUSDT,4h,8,bear,adx_gt_med,196,0.00047752611298101987,0.4507444966624272
BTCUSDT,4h,9,bull,all,963,-0.00037621538005001034,-0.9832123222960713
BTCUSDT,4h,9,bull,fixed20,638,-0.0005322839589158101,-1.1510835004146296
BTCUSDT,4h,9,bull,adx_gt_med,196,-0.00041352022500727416,-0.47561838862649175
BTCUSDT,4h,9,bear,all,962,2.077361400956014e-06,0.004653700978798477
BTCUSDT,4h,9,bear,fixed20,624,0.00022354187857981432,0.37195248398671316
BTCUSDT,4h,9,bear,adx_gt_med,186,-7.526900840063648e-05,-0.07523237188976024
BTCUSDT,4h,10,bull,all,883,-0.00017547654864415535,-0.4255982102474894
BTCUSDT,4h,10,bull,fixed20,541,3.9915160547924144e-05,0.07255121547536669
